AGE_CAT,HI_CAT,HS_CAT,RACE_CAT,SEX_CAT,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10
3,1,1,3,1,0.53517,0.13841,0.05876,0.10489,0.01021,0.07051,0,0.03358,0.035995,0.01247,0.53517,0.67358,0.73234,0.83723,0.84744,0.91795,0.91795,0.95153,0.98753,1
3,1,1,3,2,0.43435,0.17676,0.06657,0.16851,0.00781,0.07547,0,0.02693,0.032031,0.01156,0.43435,0.61111,0.67768,0.8462,0.85401,0.92948,0.92948,0.95641,0.98844,1
3,1,2,1,1,0.55789,0.14061,0.06015,0.16033,0.00985,0.02091,0,0.01105,0.023355,0.01586,0.55789,0.6985,0.75865,0.91898,0.92883,0.94974,0.94974,0.96079,0.98414,1
3,1,2,1,2,0.43861,0.17394,0.06601,0.24951,0.0073,0.02168,0,0.00858,0.020131,0.01423,0.43861,0.61254,0.67856,0.92807,0.93537,0.95705,0.95705,0.96564,0.98577,1
3,1,2,2,1,0.43656,0.13143,0.0175,0.23877,0.01799,0.0467,0,0.05575,0.022798,0.0325,0.43656,0.56799,0.58548,0.82426,0.84225,0.88894,0.88894,0.9447,0.9675,1
3,1,2,2,2,0.32672,0.15477,0.01828,0.35374,0.0127,0.04609,0,0.04123,0.018707,0.02777,0.32672,0.4815,0.49978,0.85351,0.86621,0.9123,0.9123,0.95352,0.97223,1
3,1,2,3,1,0.61632,0.12307,0.02687,0.15407,0.00495,0.01545,0,0.02656,0.024478,0.00823,0.61632,0.73939,0.76625,0.92032,0.92527,0.94073,0.94073,0.96729,0.99177,1
3,1,2,3,2,0.49704,0.15617,0.03025,0.24595,0.00377,0.01644,0,0.02116,0.021643,0.00758,0.49704,0.65321,0.68346,0.92941,0.93317,0.94961,0.94961,0.97078,0.99242,1
3,1,3,1,1,0.68003,0.05624,0.0104,0.14862,0,0.03495,0,0.04231,0.017392,0.01007,0.68003,0.73627,0.74666,0.89528,0.89528,0.93024,0.93024,0.97254,0.98993,1
3,1,3,1,2,0.56874,0.074,0.01214,0.24605,0,0.03855,0,0.03496,0.015948,0.00961,0.56874,0.64275,0.65489,0.90093,0.90093,0.93948,0.93948,0.97444,0.99039,1
3,1,3,2,1,0.47766,0.05566,0.0041,0.19259,0,0.05826,0,0.12092,0.018708,0.07211,0.47766,0.53332,0.53742,0.73,0.73,0.78826,0.78826,0.90918,0.92789,1
