sex,ageCat,raceCat,HISP,householdIncomeCat_NEW,MARRIED,increase
2,4,1,1,3,1,0.492008397
2,4,1,1,4,0,0.413835632
2,4,1,1,4,1,0.407108722
2,4,1,1,5,0,0.520469225
2,4,1,1,5,1,0.515155424
2,4,2,0,1,0,0.606742145
2,4,2,0,1,1,0.587387006
2,4,2,0,2,0,0.725726876
2,4,2,0,2,1,0.718226828
2,4,2,0,3,0,0.741251749
2,4,2,0,3,1,0.741251736
2,4,2,0,4,0,0.412868726
2,4,2,0,4,1,0.405995437
2,4,2,0,5,0,0.549841493
2,4,2,0,5,1,0.548782862
2,4,2,1,1,0,0.571823304
2,4,2,1,1,1,0.549830553
2,4,2,1,2,0,0.504822121
2,4,2,1,2,1,0.478309248
2,4,2,1,3,0,0.515660311
2,4,2,1,3,1,0.492008397
2,4,2,1,4,0,0.413835632
2,4,2,1,4,1,0.407108722
2,4,2,1,5,0,0.520469225
2,4,2,1,5,1,0.515155424
2,4,3,0,1,0,0.604591598
2,4,3,0,1,1,0.585107033
2,4,3,0,2,0,0.636621361
2,4,3,0,2,1,0.618960222
2,4,3,0,3,0,0.506857932
2,4,3,0,3,1,0.482792892
2,4,3,0,4,0,0.397843409
2,4,3,0,4,1,0.38936949
2,4,3,0,5,0,0.539059046
2,4,3,0,5,1,0.536533132
2,4,3,1,1,0,0.571823304
2,4,3,1,1,1,0.549830553
2,4,3,1,2,0,0.504822121
2,4,3,1,2,1,0.478309248
2,4,3,1,3,0,0.515660311
2,4,3,1,3,1,0.492008397
2,4,3,1,4,0,0.413835632
2,4,3,1,4,1,0.407108722
2,4,3,1,5,0,0.520469225
2,4,3,1,5,1,0.515155424
2,5,1,0,1,0,0.60616924
2,5,1,0,1,1,0.596751362
2,5,1,0,2,0,0.605707687
2,5,1,0,2,1,0.594500179
2,5,1,0,3,0,0.572315513
2,5,1,0,3,1,0.563216674
2,5,1,0,4,0,0.227374139
2,5,1,0,4,1,0.224521073
2,5,1,0,5,0,0.369708373
2,5,1,0,5,1,0.36809816
2,5,1,1,1,0,0.50422124
2,5,1,1,1,1,0.484976725
2,5,1,1,2,0,0.496006888
2,5,1,1,2,1,0.475069135
2,5,1,1,3,0,0.503651949
2,5,1,1,3,1,0.487470247
2,5,1,1,4,0,0.226885033
2,5,1,1,4,1,0.223937583
2,5,1,1,5,0,0.354405945
2,5,1,1,5,1,0.350813284
2,5,2,0,1,0,0.394212087
2,5,2,0,1,1,0.369975216
2,5,2,0,2,0,0.604256095
2,5,2,0,2,1,0.592889822
2,5,2,0,3,0,0
2,5,2,0,3,1,1
2,5,2,0,4,0,0.197906021
2,5,2,0,4,1,0.191856129
2,5,2,0,5,0,0.366642299
2,5,2,0,5,1,0.364671911
2,5,2,1,1,0,0.50422124
2,5,2,1,1,1,0.484976725
2,5,2,1,2,0,0.496006888
2,5,2,1,2,1,0.475069135
2,5,2,1,3,0,0.503651949
2,5,2,1,3,1,0.487470247
2,5,2,1,4,0,0.226885033
2,5,2,1,4,1,0.223937583
2,5,2,1,5,0,0.354405945
2,5,2,1,5,1,0.350813284
2,5,3,0,1,0,0.583666209
2,5,3,0,1,1,0.571604438
2,5,3,0,2,0,0.629822869
2,5,3,0,2,1,0.621552705
2,5,3,0,3,0,0.547930048
2,5,3,0,3,1,0.53599465
2,5,3,0,4,0,0.230557151
2,5,3,0,4,1,0.228200744
2,5,3,0,5,0,0.372555411
2,5,3,0,5,1,0.371428571
2,5,3,1,1,0,0.50422124
2,5,3,1,1,1,0.484976725
2,5,3,1,2,0,0.496006888
2,5,3,1,2,1,0.475069135
2,5,3,1,3,0,0.503651949
2,5,3,1,3,1,0.487470247
2,5,3,1,4,0,0.226885033
2,5,3,1,4,1,0.223937583
2,5,3,1,5,0,0.354405945
2,5,3,1,5,1,0.350813284
2,6,1,0,1,0,0
2,6,1,0,1,1,0
2,6,1,0,2,0,0
2,6,1,0,2,1,0
2,6,1,0,3,0,0
2,6,1,0,3,1,0
2,6,1,0,4,0,0
2,6,1,0,4,1,0
2,6,1,0,5,0,0
2,6,1,0,5,1,0
2,6,1,1,1,0,0
2,6,1,1,1,1,0
2,6,1,1,2,0,0
2,6,1,1,2,1,0
2,6,1,1,3,0,0
2,6,1,1,3,1,0
2,6,1,1,4,0,0
2,6,1,1,4,1,0
2,6,1,1,5,0,0
2,6,1,1,5,1,0
2,6,2,0,1,0,0
2,6,2,0,1,1,0
2,6,2,0,2,0,1
2,6,2,0,2,1,0
2,6,2,0,3,0,0
2,6,2,0,3,1,0
2,6,2,0,4,0,0
2,6,2,0,4,1,0
2,6,2,0,5,0,1
2,6,2,0,5,1,1
2,6,2,1,1,0,0
2,6,2,1,1,1,0
2,6,2,1,2,0,0
2,6,2,1,2,1,0
2,6,2,1,3,0,0
2,6,2,1,3,1,0
2,6,2,1,4,0,0
2,6,2,1,4,1,0
2,6,2,1,5,0,0
2,6,2,1,5,1,0
2,6,3,0,1,0,0
2,6,3,0,1,1,0
2,6,3,0,2,0,0
2,6,3,0,2,1,0
2,6,3,0,3,0,0
2,6,3,0,3,1,0
2,6,3,0,4,0,0
2,6,3,0,4,1,0
2,6,3,0,5,0,0
2,6,3,0,5,1,0
2,6,3,1,1,0,0
2,6,3,1,1,1,0
2,6,3,1,2,0,0
2,6,3,1,2,1,0
2,6,3,1,3,0,0
2,6,3,1,3,1,0
2,6,3,1,4,0,0
2,6,3,1,4,1,0
2,6,3,1,5,0,0
2,6,3,1,5,1,0
